,Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
34,R1,Aciaria,Gas natural,0.04178689955956998,0.040245934133781025,0.040585658086872735,0.03880067528637939,0.03205542588557092,0.030631794457888856,0.036228098553131485,0.03967597659507048,0.041514059107773366,0.03446960478360379,0.0431850107281882,0.036892728097350454,0.03833317163417034,0.03777512625958289,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375,0.042027706995656375
35,R1,Aciaria,Carvao metalurgico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,R1,Aciaria,Outras fontes secundarias,0.04129871025590172,0.0462819850548105,0.04984462417896376,0.047426058507113705,0.07181833112778953,0.012317764923098492,0.012418789533326313,0.012091939917513615,0.011620852208789044,0.011778170638042379,0.011772114187317372,0.011071417662956074,0.011042108028972084,0.011014695044934235,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756,0.010925597053475756
39,R1,Aciaria,Oleo diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,R1,Aciaria,Oleo combustivel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,R1,Aciaria,GLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,R1,Aciaria,Gas cidade,0.014690990023870478,0.01597710702433859,0.01541537683015341,0.015817456442725576,0.0229504583860744,0.019054883131237318,0.018265773899657226,0.017956445022350876,0.01806898280175933,0.017725605560509786,0.016509752592692863,0.017191629257084208,0.016904972985555464,0.01724865614699928,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402,0.017260310990577402
45,R1,Aciaria,Coque de carvao mineral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,R1,Aciaria,Eletricidade,0.07131065972952957,0.07064293635650203,0.07081545761871103,0.07241976571180297,0.07937476925171338,0.07509791689072887,0.07495771269364236,0.07532759008652351,0.0742335092393704,0.0760156940829985,0.07858667515408983,0.0746594997687819,0.07426177019998195,0.07346322894936284,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585,0.0730731273810585
47,R1,Aciaria,Carvao vegetal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,R1,Laminacao,Gas natural,0.7583548438588625,0.7303891750204703,0.7365545356506533,0.7041604033454036,0.581746617923324,0.5559103438653903,0.6574728996679415,0.7200455011697975,0.7534032949188498,0.6255594942209576,0.7837279724745265,0.6695346951000637,0.6956760778053135,0.6855485876739115,0.7627250528841342,0.7627250528841342,0.7490049957042576,0.7352841519333969,0.7215616928184085,0.7078367403457198,0.694108363321853,0.6803755730549323,0.6666373185874169,0.6528924814229218,0.6391398696813501,0.62537821160638,0.6116061483373627,0.5978222258434794,0.5840248859011419,0.5702124559755115,0.5563831378429558,0.5425349947623592,0.5286659369683596,0.5147737052173693,0.5008558520659002,0.48690972049797343,0.47293241944136,0.45892079561733906,0.44487140105074446,0.4307804554199937,0.4166438022422844,0.4024568576562839,0.3882145502688637,0.37391125015423754,0.35954068460682964,0.3450958376173269
52,R1,Laminacao,Carvao metalurgico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,R1,Laminacao,Outras fontes secundarias,0.053172089454473465,0.05958805575806852,0.06417495363041585,0.06106105032790891,0.09246610132702902,0.015859122338489313,0.01598919152415763,0.01556837264379878,0.014961847218815896,0.015164394696479563,0.015156597016171117,0.014254450241055946,0.014216714087301558,0.01418141987035283,0.014066706206350036,0.014066706206350036,0.01381332857232545,0.013559247784095532,0.013304443708180328,0.013048894938442843,0.012792578687095118,0.012535470663696598,0.01227754494051404,0.012018773802347737,0.011759127578614349,0.011498574455101123,0.011237080262356211,0.01097460823713845,0.010711118752695595,0.010446569012845837,0.010180912703869244,0.009914099597029376,0.00964607509308452,0.009376779698339806,0.009106148419540574,0.008834110062089593,0.008560586412521276,0.00828549128166646,0.008008729379198685,0.0077301949828711995,0.007449770356193925,0.007167323855819424,0.006882707653476646,0.006595754975465535,0.006306276733455228,0.006014057380672368
56,R1,Laminacao,Oleo diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,R1,Laminacao,Oleo combustivel,0.027412915540280695,0.037474967915373886,0.04515080109102327,0.041962299545774025,0.04695180567262819,0.05001909642752386,0.008110068431414203,0.007910417104541077,0.011201861190355312,0.009739012220155321,0.0005819519891539866,0.0006018946677382272,0.0007932820407712823,0.0,0.0005581652585284867,0.0005581652585284867,0.0005481110120674966,0.0005380283563750888,0.0005279164847153997,0.0005177745394776175,0.0005076016078147078,0.0004973967168009354,0.00048715882804270793,0.0004768868316666404,0.0004665795395960777,0.0004562356780121987,0.0004458538788777046,0.000435432670379284,0.0004249704661186765,0.0004144655528501426,0.00040391607652308543,0.0003933200263407006,0.00038267521648654393,0.00037197926509785473,0.0003612295699734906,0.000350423280390351,0.0003395572642585032,0.00032862806966297816,0.00031763187960742387,0.000306564458475351,0.0002954210883365433,0.0002841964927190026,0.00027288474479838826,0.0002614791560680426,0.0002499721403592327,0.00023835504646224352
59,R1,Laminacao,GLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,R1,Laminacao,Gas cidade,1.0115795987865104,1.1001379408187433,1.0614588045905637,1.0891448579133898,1.5803029917268376,1.3120648098937697,1.2577290028049695,1.2364295001104462,1.2441785300639998,1.2205345543093884,1.1368143928111374,1.1837664717020842,1.1640281398625336,1.187693180407665,1.1884956996369014,1.1884956996369014,1.167087272001916,1.1456183099341055,1.1240870949894177,1.1024918003642354,1.080830481605862,1.0591010662979792,1.0373013425816024,1.0154289463494137,0.9934813469243772,0.9714558310013447,0.9493494845917517,0.9271591726650339,0.9048815161242126,0.8825128656848783,0.8600492721435877,0.8374864524196781,0.8148197506288231,0.7920440932909997,0.7691539375816502,0.7461432112919657,0.723005242858054,0.6997326794303964,0.6763173904589157,0.6527503536307944,0.629021519170915,0.6051196474337883,0.5810321132911733,0.5567446689249834,0.5322411540910834,0.5075031394683669
62,R1,Laminacao,Coque de carvao mineral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,R1,Laminacao,Eletricidade,0.5907077037296853,0.5851765623560989,0.5866056563938002,0.5998950741798605,0.6575074169358347,0.6220797593187243,0.6209183663428584,0.623982276089859,0.6149193675798593,0.6296822420308086,0.6509791747838785,0.6184480950996114,0.6151534695670147,0.6085386875656176,0.6053072492013055,0.6053072492013055,0.5943807226928383,0.583376496950715,0.5722926562385086,0.5611271795173949,0.5498779311472298,0.5385426504699281,0.5271189401055616,0.5156042527604766,0.5039958763088677,0.4922909168629875,0.48048627949036393,0.4685786461662197,0.45656445046217387,0.4444398483634585,0.43220068447008053,0.4198424526642818,0.4073602501061551,0.3947487231363456,0.3820020032989007,0.369113631220384,0.35607646545419513,0.342882572566767,0.3295230936270262,0.3159880807503639,0.302266295280709,0.2883449563294016,0.2742094243689096,0.25984279885843675,0.24522540061585382,0.23033409752257009
64,R1,Laminacao,Carvao vegetal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,R1,Flare,Gas natural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,R1,Flare,Carvao metalurgico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
